id,dcode,sport_field_name,sport_field_type,area
1019006,1019,โรงเรียนวัดทอง (อุดมศิลปวิทยาคาร),โรงเรียนสังกัดกรุงเทพมหานคร,200
1019007,1019,ชุมชนซอยพฤกษอุดม - วัดน้อยใน,ชุมชนทั่วไป,400
1019008,1019,ชุมชนหลังวัดกาญจนสิงหาสน์,ชุมชนทั่วไป,100
1019009,1019,ชุมชนวัดช่างเหล็ก - วัดเรไร,ชุมชนทั่วไป,400
1019010,1019,ชุมชนวัดปากน้ำฝั่งเหนือ,ชุมชนทั่วไป,200
1019011,1019,ชุมชนวัดมณฑป,ชุมชนทั่วไป,400
1019012,1019,หมู่บ้านพัฒนาสมบัติ ฉิมพลี 28,ชุมชนทั่วไป,400
1019013,1019,หมู่บ้านพัฒนาหมู่ 7 ฉิมพลี,ชุมชนทั่วไป,400
1019014,1019,ชุมชนหมู่ 8 วัดทองบางเชือกหนัง,ชุมชนทั่วไป,234
1019015,1019,โรงเรียนอุบลรัตนราชกัญญาราชวิทยาลัย กรุงเทพมหานคร,ชุมชนทั่วไป,400
1022001,1022,โรงเรียนบางจาก (โกมลประเสริฐอุทิศ),ชุมชนทั่วไป,500
1022002,1022,โรงเรียนวัดโคนอน,ชุมชนทั่วไป,200
1022003,1022,โรงเรียนวัดโตนด,ชุมชนทั่วไป,200
1022004,1022,โรงเรียนวัดกำแพง,ชุมชนทั่วไป,100
1022005,1022,โรงเรียนวัดจันทร์ประดิษฐาราม,ชุมชนทั่วไป,400
1022006,1022,โรงเรียนวัดชัยฉิมพลี,ชุมชนทั่วไป,200
1022007,1022,โรงเรียนวัดตะล่อม,ชุมชนทั่วไป,100
1022008,1022,โรงเรียนวัดทองศาลางาม,ชุมชนทั่วไป,1700
1022009,1022,โรงเรียนวัดนิมมานรดี,ชุมชนทั่วไป,500
1022010,1022,โรงเรียนวัดประดู่ (พ่วงอุทิศ),ชุมชนทั่วไป,710
1022011,1022,โรงเรียนวัดมะพร้าวเตี้ย,ชุมชนทั่วไป,1200
1022012,1022,โรงเรียนวัดวิจิตรการนิมิตร ,ชุมชนทั่วไป,400
1022013,1022,โรงเรียนวัดอ่างแก้ว (จีบ ปานขำ),ชุมชนทั่วไป,200
1022014,1022,ชุมชนพูนบำเพ็ญ,ชุมชนทั่วไป,114
1022015,1022,ร.ร.พณิชยการธนบุรี,ชุมชนทั่วไป,900
1022016,1022,วัดทองศาลางาม,ชุมชนทั่วไป,400
1022017,1022,วัดรางบัว,ชุมชนทั่วไป,400
1022018,1022,หมู่ 10 บางด้วน,ชุมชนทั่วไป,400
