dcode,dname,sex,age,population,age_group,age_group_range
1008,เขตป้อมปราบศัตรูพ่าย,male,67,231,65,65 years and older
1001,เขตพระนคร,male,20,231,20,15 to 64 years
1001,เขตพระนคร,male,38,231,35,15 to 64 years
1045,เขตวังทองหลาง,female,0,231,0,0 to 14 years
1030,เขตจตุจักร,male,86,230,85,65 years and older
1019,เขตตลิ่งชัน,female,0,230,0,0 to 14 years
1048,เขตทวีวัฒนา,male,0,230,0,0 to 14 years
1040,เขตบางแค,female,87,230,85,65 years and older
1016,เขตบางกอกใหญ่,female,79,230,75,65 years and older
1004,เขตบางรัก,male,0,230,0,0 to 14 years
1004,เขตบางรัก,male,27,230,25,15 to 64 years
1004,เขตบางรัก,male,46,230,45,15 to 64 years
1008,เขตป้อมปราบศัตรูพ่าย,male,24,230,20,15 to 64 years
1008,เขตป้อมปราบศัตรูพ่าย,male,53,230,50,15 to 64 years
1014,เขตพญาไท,male,2,230,0,0 to 14 years
1001,เขตพระนคร,female,22,230,20,15 to 64 years
1012,เขตยานนาวา,male,74,230,70,65 years and older
1041,เขตหลักสี่,female,82,230,80,65 years and older
1015,เขตธนบุรี,male,77,229,75,65 years and older
1021,เขตบางขุนเทียน,female,83,229,80,65 years and older
1004,เขตบางรัก,male,22,229,20,15 to 64 years
1007,เขตปทุมวัน,male,22,229,20,15 to 64 years
